sku_id,class,lead_time,unit_cost,unit_price,order_quantity,target_service_level,validation_rmse,validation_bias,lead_time_error_std,lead_time_error_samples,safety_stock,rop,selected_q_multiplier,selected_safety_stock_quantile,calibration_service_floor,calibration_fill_rate,calibration_cycle_service_level,calibration_avg_inventory,calibration_total_cost,calibration_service_floor_met,selection_status
SKU0001,CZ,5.0,695.87,1156.65,308.0,80,2.789364959625468,0.7682467484272698,8.188551151330662,119,0.0,28.800583335632282,0.5,0.75,0.98,1.0,1.0,191.45528455284554,11274.001801369863,True,minimum_cost_feasible
SKU0003,CZ,10.0,193.65,301.66,164.0,80,3.339545621274429,1.1869939438622394,16.189780901958446,114,6.463625651436308,76.62624801688796,0.5,0.85,0.98,0.9065550906555091,0.8333333333333334,93.47154471544715,9011.59743150685,False,no_feasible_candidate_best_service
SKU0005,AY,3.0,800.79,1482.73,328.0,97,6.698169297903482,0.9887042769224854,11.098406704068045,121,3.4116965970437505,61.74366308634779,0.5,0.75,0.97,1.0,1.0,176.1869918699187,12236.246636986301,True,minimum_cost_feasible
SKU0007,AX,3.0,1191.09,1706.36,264.0,99,8.755675459181383,0.858586141117071,15.029632867937917,121,22.118361254849088,97.59655870259054,0.5,0.95,0.97,1.0,1.0,151.1869918699187,15720.89701369863,True,minimum_cost_feasible
SKU0008,CZ,10.0,531.57,1069.58,246.0,80,2.8786224344840496,0.9662086194798063,10.168229684001417,114,0.0,57.548265056586686,0.5,0.75,0.98,1.0,1.0,142.83739837398375,6496.6803630137,True,minimum_cost_feasible
SKU0010,AX,10.0,434.06,956.12,373.0,99,6.251156424894967,0.574006739935458,20.30042801331788,114,6.109292893656942,183.15017330114162,0.5,0.75,0.97,0.939250118652112,0.8333333333333334,185.21951219512195,73896.79980821918,False,no_feasible_candidate_best_service
SKU0011,CZ,3.0,412.72,755.22,222.0,80,3.3536124010238764,1.26662126080751,5.2122327686076435,121,0.0,20.848644270227407,0.5,0.75,0.98,1.0,1.0,113.5691056910569,4098.825808219179,True,minimum_cost_feasible
SKU0012,AY,14.0,1087.13,2155.56,250.0,97,7.938833332288001,0.7710029413460802,23.418016380837614,110,9.994316537248457,366.9184390169065,0.5,0.85,0.97,0.8467609339033213,0.9166666666666666,155.6910569105691,512747.6536301369,False,no_feasible_candidate_best_service
SKU0013,BZ,10.0,529.56,1182.14,358.0,85,3.1705141852708576,0.8319753369256992,14.032418436534504,114,3.3498095212975,74.10858728079839,0.5,0.8,0.98,1.0,1.0,188.16260162601625,8494.6141369863,True,minimum_cost_feasible
SKU0015,AX,3.0,1131.76,2683.5,256.0,99,5.119190980678408,1.0602903742116858,8.893409891849116,121,4.723940148771039,48.734079564089015,0.5,0.8,0.97,1.0,1.0,140.41463414634146,13738.100657534245,True,minimum_cost_feasible
