sku_id,class,service_floor,q_multiplier,minimum_order_quantity,order_multiple,safety_stock_quantile,order_quantity,safety_stock,rop,fill_rate,cycle_service_level,avg_inventory,stockout_cost,holding_cost,ordering_cost,total_cost,service_floor_met
SKU0001,CZ,0.98,0.5,1.0,1.0,0.75,308.0,0.0,28.800583335632282,1.0,1.0,191.45528455284554,0.0,11224.001801369863,50.0,11274.001801369863,True
SKU0001,CZ,0.98,0.5,1.0,1.0,0.8,308.0,0.33862635064322466,29.139209686275507,1.0,1.0,191.45528455284554,0.0,11224.001801369863,50.0,11274.001801369863,True
SKU0001,CZ,0.98,0.5,1.0,1.0,0.85,308.0,3.0791592456529107,31.879742581285193,1.0,1.0,193.95934959349594,0.0,11370.801773972604,50.0,11420.801773972604,True
SKU0001,CZ,0.98,0.5,1.0,1.0,0.9,308.0,6.034094353760812,34.8346776893931,1.0,1.0,196.46341463414635,0.0,11517.601746575343,50.0,11567.601746575343,True
SKU0001,CZ,0.98,0.5,1.0,1.0,0.95,308.0,14.06548305380662,42.8660663894389,1.0,1.0,198.96747967479675,0.0,11664.401719178084,50.0,11714.401719178084,True
SKU0001,CZ,0.98,0.5,1.0,1.0,0.97,308.0,16.982103748395478,45.782687084027756,1.0,1.0,198.96747967479675,0.0,11664.401719178084,50.0,11714.401719178084,True
SKU0001,CZ,0.98,0.5,1.0,1.0,0.99,308.0,18.803337526736197,47.60392086236848,1.0,1.0,201.47154471544715,0.0,11811.201691780821,50.0,11861.201691780821,True
SKU0001,CZ,0.98,0.75,1.0,1.0,0.75,462.0,0.0,28.800583335632282,1.0,1.0,262.8211382113821,0.0,15407.801020547944,50.0,15457.801020547944,True
SKU0001,CZ,0.98,0.75,1.0,1.0,0.8,462.0,0.33862635064322466,29.139209686275507,1.0,1.0,262.8211382113821,0.0,15407.801020547944,50.0,15457.801020547944,True
SKU0001,CZ,0.98,0.75,1.0,1.0,0.85,462.0,3.0791592456529107,31.879742581285193,1.0,1.0,266.5772357723577,0.0,15628.000979452054,50.0,15678.000979452054,True
SKU0001,CZ,0.98,0.75,1.0,1.0,0.9,462.0,6.034094353760812,34.8346776893931,1.0,1.0,270.3333333333333,0.0,15848.200938356164,50.0,15898.200938356164,True
SKU0001,CZ,0.98,0.75,1.0,1.0,0.95,462.0,14.06548305380662,42.8660663894389,1.0,1.0,274.0894308943089,0.0,16068.400897260273,50.0,16118.400897260273,True
SKU0001,CZ,0.98,0.75,1.0,1.0,0.97,462.0,16.982103748395478,45.782687084027756,1.0,1.0,274.0894308943089,0.0,16068.400897260273,50.0,16118.400897260273,True
SKU0001,CZ,0.98,0.75,1.0,1.0,0.99,462.0,18.803337526736197,47.60392086236848,1.0,1.0,277.8455284552846,0.0,16288.600856164387,50.0,16338.600856164387,True
SKU0001,CZ,0.98,1.0,1.0,1.0,0.75,615.0,0.0,28.800583335632282,1.0,1.0,333.7235772357724,0.0,19564.43271232877,50.0,19614.43271232877,True
SKU0001,CZ,0.98,1.0,1.0,1.0,0.8,615.0,0.33862635064322466,29.139209686275507,1.0,1.0,333.7235772357724,0.0,19564.43271232877,50.0,19614.43271232877,True
SKU0001,CZ,0.98,1.0,1.0,1.0,0.85,615.0,3.0791592456529107,31.879742581285193,1.0,1.0,338.7235772357724,0.0,19857.556034246576,50.0,19907.556034246576,True
SKU0001,CZ,0.98,1.0,1.0,1.0,0.9,615.0,6.034094353760812,34.8346776893931,1.0,1.0,343.7235772357724,0.0,20150.679356164386,50.0,20200.679356164386,True
SKU0001,CZ,0.98,1.0,1.0,1.0,0.95,615.0,14.06548305380662,42.8660663894389,1.0,1.0,348.7235772357724,0.0,20443.802678082193,50.0,20493.802678082193,True
SKU0001,CZ,0.98,1.0,1.0,1.0,0.97,615.0,16.982103748395478,45.782687084027756,1.0,1.0,348.7235772357724,0.0,20443.802678082193,50.0,20493.802678082193,True
SKU0001,CZ,0.98,1.0,1.0,1.0,0.99,615.0,18.803337526736197,47.60392086236848,1.0,1.0,353.7235772357724,0.0,20736.926,50.0,20786.926,True
SKU0001,CZ,0.98,1.25,1.0,1.0,0.75,769.0,0.0,28.800583335632282,1.0,1.0,405.0894308943089,0.0,23748.23193150685,50.0,23798.23193150685,True
