sku_id,class,total_demand,total_sales,total_lost,avg_inventory,fill_rate,cycle_service_level,cycles_without_stockout,num_cycles,turnover,DOI,stockout_cost,holding_cost,ordering_cost,total_cost
SKU0001,CZ,415.0,415.0,0.0,220.33695652173913,1.0,1.0,2,2,1.8834788614276554,48.845783132530116,0.0,9661.630664383563,50.0,9711.630664383563
SKU0003,CZ,507.0,507.0,0.0,130.91304347826087,1.0,1.0,3,3,3.872799734307539,23.755424063116372,0.0,1597.4798630136988,100.0,1697.4798630136988
SKU0005,AY,1448.0,1448.0,0.0,248.2826086956522,1.0,1.0,4,4,5.832063742229226,15.77486187845304,0.0,12528.524095890412,150.0,12678.524095890412
SKU0007,AX,2079.0,2079.0,0.0,156.20652173913044,1.0,1.0,8,8,13.309303458353629,6.912457912457912,0.0,11724.078349315068,350.0,12074.078349315068
SKU0008,CZ,387.0,387.0,0.0,117.21739130434783,1.0,1.0,2,2,3.3015578635014835,27.865633074935403,0.0,3926.336219178083,100.0,4026.336219178083
SKU0010,AX,1514.0,1513.0,1.0,188.55434782608697,0.9993394980184941,0.8,4,5,8.029515189946387,11.457727873183622,522.06,5157.286863013699,200.0,5879.3468630136995
SKU0011,CZ,492.0,490.0,2.0,223.94565217391303,0.9959349593495935,0.5,1,2,2.1969616075328835,41.8760162601626,685.0,5824.157643835617,50.0,6559.157643835617
SKU0012,AY,2051.0,1776.0,275.0,127.71739130434783,0.8659190638712823,0.625,5,8,16.058893617021276,5.728912725499756,293818.24999999994,8749.16267123288,450.0,303017.4126712328
SKU0013,BZ,505.0,505.0,0.0,167.29347826086956,1.0,1.0,2,2,3.0186472613865245,30.477227722772277,0.0,5582.505452054794,100.0,5682.505452054794
SKU0015,AX,1271.0,1263.0,8.0,202.59782608695653,0.993705743509048,0.75,3,4,6.27351252749611,14.664830841856807,12413.92,14448.544273972606,200.0,27062.464273972604
SKU0016,CX,2133.0,2133.0,0.0,242.57608695652175,1.0,1.0,5,5,8.79311735448313,10.462728551336147,0.0,3323.3987260273975,250.0,3573.3987260273975
SKU0017,BZ,517.0,517.0,0.0,387.5652173913044,1.0,1.0,1,1,1.3339690374691495,68.96711798839459,0.0,22466.21063013699,0.0,22466.21063013699
SKU0021,AY,613.0,612.0,1.0,84.20652173913044,0.99836867862969,0.8,4,5,7.279721182393184,12.637846655791192,911.6899999999999,4940.569657534247,200.0,6052.259657534247
SKU0022,AY,1494.0,1494.0,0.0,105.59782608695652,1.0,1.0,10,10,14.148018528049409,6.502677376171351,0.0,2004.4174315068497,450.0,2454.4174315068494
SKU0023,CZ,388.0,388.0,0.0,434.60869565217394,1.0,1.0,1,1,0.8927571028411364,103.05154639175258,0.0,3915.145643835617,0.0,3915.145643835617
SKU0024,AX,1008.0,1008.0,0.0,242.6304347826087,1.0,1.0,3,3,4.154466445658991,22.14484126984127,0.0,8077.3533013698625,100.0,8177.3533013698625
SKU0026,AY,861.0,841.0,20.0,224.70652173913044,0.9767711962833914,0.6666666666666666,2,3,3.831664489914381,24.010452961672478,26157.199999999997,12694.496363013699,100.0,38951.696363013696
SKU0028,AX,1978.0,1887.0,91.0,117.81521739130434,0.9539939332659252,0.5555555555555556,5,9,16.789002675523573,5.479777553083923,93285.01000000001,6728.643328767123,400.0,100413.65332876713
SKU0029,AY,1001.0,1001.0,0.0,256.29347826086956,1.0,1.0,3,3,3.9056787819670045,23.555444555444556,0.0,13928.406,100.0,14028.406
SKU0031,AY,1276.0,1273.0,3.0,222.42391304347825,0.9976489028213166,0.75,3,4,5.736793236573328,16.036833855799372,4833.8099999999995,15124.399520547946,150.0,20108.209520547945
SKU0032,CZ,506.0,506.0,0.0,187.81521739130434,1.0,1.0,2,2,2.694137392210197,34.148221343873516,0.0,4098.910178082191,50.0,4148.910178082191
SKU0033,AY,695.0,695.0,0.0,199.3804347826087,1.0,1.0,2,2,3.4857983972087445,26.392805755395685,0.0,12749.013184931508,50.0,12799.013184931508
SKU0034,CZ,540.0,540.0,0.0,347.4673913043478,1.0,1.0,1,1,1.5541026683767636,59.19814814814814,0.0,6661.835219178082,50.0,6711.835219178082
SKU0037,AX,1540.0,1537.0,3.0,283.3369565217391,0.9980519480519481,0.75,3,4,5.435224613495992,16.926623376623375,2859.5099999999993,11492.511801369865,150.0,14502.021801369865
SKU0040,BZ,657.0,657.0,0.0,192.1413043478261,1.0,1.0,3,3,3.419358488431295,26.90563165905632,0.0,5301.526020547945,100.0,5401.526020547945
SKU0042,AY,1663.0,1663.0,0.0,115.0,1.0,1.0,9,9,14.460869565217392,6.3619963920625375,0.0,3663.071369863014,450.0,4113.071369863013
SKU0043,CZ,506.0,506.0,0.0,224.7173913043478,1.0,1.0,2,2,2.251717132630357,40.85770750988142,0.0,4043.6078356164385,50.0,4093.6078356164385
