sku_id,avg_inventory,total_demand,total_sales,num_days,daily_demand,DOI,fill_rate,lost_sales,CV
SKU0001,419.84037558685446,3592,3592,639,5.621283255086072,74.68763919821826,1.0,0,0.5408114008203883
SKU0002,281.11580594679185,5662,5611,639,8.860719874804381,31.726068527022253,0.9909925821264571,51,0.500556342178404
SKU0003,172.0453834115806,4359,4282,639,6.821596244131455,25.220692819454005,0.9823353980270705,77,0.5226428650310058
SKU0004,344.6306729264476,10945,10945,639,17.128325508607197,20.120511649154867,1.0,0,0.4232918910325003
SKU0005,463.4021909233177,13471,13471,639,21.081377151799686,21.98159008239923,1.0,0,0.4109718269113008
SKU0006,276.65414710485135,10296,10296,639,16.112676056338028,17.16996891996892,1.0,0,0.41521192179653443
SKU0007,333.70109546165884,17882,17882,639,27.98435054773083,11.924561011072587,1.0,0,0.3898143304491119
SKU0008,352.75586854460096,3575,3575,639,5.594679186228482,63.05202797202798,1.0,0,0.542999189478009
SKU0009,461.6244131455399,7182,7182,639,11.23943661971831,41.0718462823726,1.0,0,0.46603476287540696
SKU0010,379.7323943661972,13123,12679,639,20.53677621283255,18.490360435875946,0.966166272955879,444,0.4187006280054314
SKU0011,366.641627543036,4315,4315,639,6.752738654147105,54.295249130938586,1.0,0,0.5225824616530046
SKU0012,156.1032863849765,17848,11230,639,27.93114241001565,5.588861497086508,0.6292021515015688,6618,0.4010017627537187
SKU0013,433.83098591549293,4428,4428,639,6.929577464788732,62.605691056910565,1.0,0,0.5120875909755666
SKU0014,481.0234741784038,13288,13288,639,20.794992175273865,23.13169777242625,1.0,0,0.41389254956100086
SKU0015,396.6259780907668,9982,9982,639,15.621283255086071,25.390102183931077,1.0,0,0.42326807265069716
SKU0016,448.0845070422535,17894,17894,639,28.003129890453835,16.001229462389627,1.0,0,0.3952986637919542
SKU0017,347.1862284820031,4349,4349,639,6.805946791862285,51.01218670958841,1.0,0,0.5550900483426027
SKU0018,316.9452269170579,7257,7254,639,11.35680751173709,27.907950943916216,0.9995866060355518,3,0.44573251495550303
SKU0019,497.4178403755869,5866,5866,639,9.179968701095461,54.185134674394824,1.0,0,0.471886247761497
SKU0020,458.07511737089203,8821,8821,639,13.804381846635367,33.18331254959755,1.0,0,0.43608560990667367
SKU0021,220.1846635367762,5729,5729,639,8.965571205007825,24.558910804677954,1.0,0,0.5011763579697385
SKU0022,228.8967136150235,13163,13163,639,20.599374021909235,11.111828610499126,1.0,0,0.4225668537790946
SKU0023,438.50704225352115,3539,3539,639,5.538341158059468,79.17660356032778,1.0,0,0.5312391004821788
SKU0024,387.9561815336463,8755,8755,639,13.701095461658841,28.315705311250714,1.0,0,0.43285746962102717
SKU0025,236.75430359937403,10769,10769,639,16.852895148669795,14.048286749001766,1.0,0,0.42862072078965097
SKU0026,413.48826291079814,7191,7191,639,11.253521126760564,36.743012098456404,1.0,0,0.4628725484331049
SKU0027,399.75586854460096,10968,10968,639,17.164319248826292,23.289934354485776,1.0,0,0.40757316604600685
SKU0028,196.15962441314554,18258,15107,639,28.572769953051644,6.865264541570818,0.8274181180852229,3151,0.3995964514528342
SKU0029,363.94679186228484,8785,8785,639,13.748043818466353,26.47262379055208,1.0,0,0.4411358080799161
SKU0030,451.30829420970264,10707,10707,639,16.75586854460094,26.934342019239747,1.0,0,0.4266491801555915
SKU0031,369.29733959311426,10609,10329,639,16.602503912363066,22.243472523329253,0.9736073145442549,280,0.43327018251641525
SKU0032,300.92801251956183,4228,4228,639,6.61658841940532,45.48084200567645,1.0,0,0.5201541825042729
SKU0033,338.55712050078245,5979,5979,639,9.35680751173709,36.18297374142833,1.0,0,0.46785973230215433
SKU0034,356.3974960876369,4383,4383,639,6.859154929577465,51.959388546657536,1.0,0,0.5019672683543871
SKU0035,293.3364632237872,8795,8591,639,13.763693270735525,21.312336554860718,0.9768050028425241,204,0.43003741307511506
SKU0036,294.9452269170579,8877,8731,639,13.892018779342724,21.231271826067363,0.9835530021403628,146,0.44323922537040983
SKU0037,411.8278560250391,12874,12874,639,20.147104851330205,20.441043964579773,1.0,0,0.3953259022715462
SKU0038,277.94053208137717,4321,4321,639,6.762128325508607,41.102522564221246,1.0,0,0.5051998402328431
SKU0039,205.26291079812208,14789,13724,639,23.14397496087637,8.86895665697478,0.9279870173777808,1065,0.40753084576053833
SKU0040,363.88419405320815,5873,5873,639,9.19092331768388,39.59169078835348,1.0,0,0.467338757019708
SKU0041,390.9984350547731,8655,8655,639,13.544600938967136,28.867475447718082,1.0,0,0.43278109030782497
SKU0042,212.29107981220656,12850,12780,639,20.109546165884193,10.556731517509727,0.9945525291828794,70,0.4214029277618208
SKU0043,289.0845070422535,4319,4319,639,6.758998435054773,42.770317203056265,1.0,0,0.5060118780444256
SKU0044,239.5696400625978,5826,5267,639,9.11737089201878,26.27617576381737,0.9040508067284586,559,0.45983723240098895
SKU0045,360.15023474178406,4304,4304,639,6.735524256651018,53.47026022304833,1.0,0,0.526725372034491
