sku_id,date,demand,sales_quantity,inventory_level,order_received,category,lead_time,safety_stock,reorder_point,order_quantity,unit_cost,unit_price
SKU0001,2024-01-01,10,10,290,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-02,1,1,289,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-03,4,4,285,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-04,2,2,283,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-05,1,1,282,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-06,3,3,279,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-07,5,5,274,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-08,4,4,270,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-09,4,4,266,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-10,3,3,263,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-11,3,3,260,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-12,2,2,258,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-13,6,6,252,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-14,4,4,248,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-15,6,6,242,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-16,2,2,240,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-17,3,3,237,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-18,7,7,230,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-19,7,7,223,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-20,2,2,221,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-21,4,4,217,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-22,5,5,212,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-23,11,11,201,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-24,4,4,197,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-25,5,5,192,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-26,9,9,183,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-27,7,7,176,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-28,9,9,167,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-29,8,8,159,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-30,8,8,151,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-01-31,7,7,144,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-01,14,14,130,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-02,5,5,125,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-03,9,9,116,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-04,6,6,110,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-05,5,5,105,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-06,5,5,715,615,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-07,3,3,712,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-08,8,8,704,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-09,2,2,702,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-10,4,4,698,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-11,1,1,697,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-12,5,5,692,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-13,6,6,686,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-14,5,5,681,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-15,13,13,668,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-16,7,7,661,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-17,8,8,653,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-18,7,7,646,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-19,6,6,640,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-20,7,7,633,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-21,4,4,629,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-22,6,6,623,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-23,6,6,617,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-24,10,10,607,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-25,8,8,599,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-26,8,8,591,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-27,5,5,586,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-28,8,8,578,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-02-29,9,9,569,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-03-01,13,13,556,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-03-02,5,5,551,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-03-03,1,1,550,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-03-04,7,7,543,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-03-05,11,11,532,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-03-06,4,4,528,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-03-07,6,6,522,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-03-08,5,5,517,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-03-09,6,6,511,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-03-10,4,4,507,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-03-11,15,15,492,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-03-12,8,8,484,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-03-13,3,3,481,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-03-14,11,11,470,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-03-15,7,7,463,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-03-16,3,3,460,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-03-17,2,2,458,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-03-18,8,8,450,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-03-19,6,6,444,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-03-20,10,10,434,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-03-21,11,11,423,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-03-22,5,5,418,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-03-23,7,7,411,0,Laptop,5,10,135,615,695.87,1156.65
SKU0001,2024-03-24,2,2,409,0,Laptop,5,10,135,615,695.87,1156.65
